challenge 17
input : "000007I\'m on a roll, it\'s time to go solo\u{7}\u{7}\u{7}\u{7}\u{7}\u{7}\u{7}"
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 249]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 248]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 251]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 250]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 253]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 252]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 255]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 254]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 241]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 240]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 243]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 242]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 245]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 244]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 247]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 246]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 233]
P2' = [92, 127, 85, 239, 147, 133, 2, 23, 99, 129, 21, 129, 186, 173, 48, 232]
